 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO54400,XCIEN,ENERO,8/1/2026,18/1/2026,SI,EDWIN GARZA,GERARDO DE LA GARZA,JONATHAN TORRES,CORPORATIVO INNOVACION Y CALIDAD EN COBRANZA ESTRATEGICA,"Sandur, SIDP-100, CORPORATIVO INNOVACION Y CALIDAD EN COBRANZA ESTRATEGICA, SITIO: GUADALAJARA.","
[SO54400] Sandur, SIDP-100, CORPORATIVO INNOVACION Y CALIDAD EN COBRANZA ESTRATEGICA","2,000",,"2,000",SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,Centinela,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"72,000.00",SÍ,2676795,,PAGADA,18/2/2026,
SO55592,XCIEN,ENERO,9/1/2026,14/1/2026,SI,EDWIN GARZA,LEONARDO RODRÍGUEZ,LEONARDO RODRÍGUEZ,CONSTRUCTORA MAIZ MIER,"Sandur, SRPVD-100, CONSTRUCTORA MAIZ MIER, SITIO: TALLERES Y EQUIPOS","[SO55592] Sandur, SRPVD-100, CONSTRUCTORA MAIZ MIER","3,000",,"3,000",SÍ,NO,NO,SERVICIOS ADMINISTRADOS,RED PRIVADA,100,ON,Mitras,12,EMPRESARIAL,EAC,UPGRADE,SÍ,"36,000.00",SÍ,2676810,,PAGADA,23/2/2026,
SO55593,XCIEN,ENERO,9/1/2026,14/1/2026,SI,EDWIN GARZA,LEONARDO RODRÍGUEZ,LEONARDO RODRÍGUEZ,CONSTRUCTORA MAIZ MIER,"Sandur, SRPVD-100, CONSTRUCTORA MAIZ MIER, SITIO: LABORATORIO CONTROL DE CALIDAD","[SO55593] Sandur, SRPVD-100, CONSTRUCTORA MAIZ MIER","3,000",,"3,000",SÍ,NO,NO,SERVICIOS ADMINISTRADOS,RED PRIVADA,100,ON,Sendero,12,EMPRESARIAL,EAC,UPGRADE,SÍ,"36,000.00",SÍ,2676809,,PAGADA,23/2/2026,
SO55594,XCIEN,ENERO,9/1/2026,28/1/2026,SI,EDWIN GARZA,LEONARDO RODRÍGUEZ,,CONSTRUCTORA MAIZ MIER,"Sandur, SRPVD-200, CONSTRUCTORA MAIZ MIER, SITIO: MATRIZ",,0,,0,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,RED PRIVADA,200,ON,Repetec,12,EMPRESARIAL,EAC,RENOVACIÓN,NO,0.00,SÍ,,,PENDIENTE ELABORACIÓN,,
SO55556,XCIEN,ENERO,9/1/2026,10/2/2026,SI,EDWIN GARZA,LEONARDO RODRÍGUEZ,,CONSTRUCTORA MAIZ MIER,"Sandur, SIDP-30, CONSTRUCTORA MAIZ MIER, SITIO: JUAREZ 2// FASE 1 BLINDAJE","[SO55596] Sandur, [SIN PRODUCTO], CONSTRUCTORA MAIZ MIER","-1,700",,"-1,700",SÍ,NO,NO,DEDICADO,DEDICADO,30,ON,Juárez,12,EMPRESARIAL,EAC,RENOVACIÓN,NO,"-20,400.00",SÍ,2678383,,PAGADA,17/2/2026,
,LUMINET,ENERO,9/1/2026,9/1/2026,SI,FRANCISCO ALDAY,JULIO PUENTE,,INTERNATIONAL MANUFACTURING SOLUTIONS OPERACIONES,"INTERNATIONAL MANUFACTURING SOLUTIONS OPERACIONES, Blvd. Cesar H. Cantú Benavides 1465, Parque Industrial Alianza- Derramadero, Saltillo, Coah, México C.P. 25304",,,"18,000","18,000",SÍ,NO,NO,DEDICADO,EVENTUAL,200,ON,,,EMPRESARIAL,VENTA DIRECTA,EVENTUAL,NO,0.00,NO,2607562,,PAGADA,19/1/2026,
SO56027,XCIEN,ENERO,12/1/2026,16/1/2026,SI,SERGIO ABREGO,JONATHAN TORRES,,SOLUCIONES INDUSTRIALES EN PROTECCION,"Sandur, SID-20, SOLUCIONES INDUSTRIALES EN PROTECCION, SITIO:GARCIA",,"-3,800",,"-3,800",SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Valle de Lincoln,24,EMPRESARIAL,EAC,DECREMENTO,NO,"-91,200.00",SÍ,2676794,,PAGADA,9/2/2026,
SO56206,XCIEN,ENERO,15/1/2026,20/1/2026,SI,KEVIN TORRES,JORGE DE LA GARZA,JONATHAN TORRES,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL  ESTADO DE NUEVO LEON,"Sandur, SIMP-10, INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL  ESTADO DE NUEVO LEON, Sitio: Garcia","[SO56206] Sandur, SIMP-10, INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO DE NUEVO LEON","1,199",,"1,199",NO,SÍ,SÍ,PYME,PYME,10,ON,Valle de Lincoln,12,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"14,388.00",SÍ,2676792,,PAGADA,3/2/2026,
SO55596,XCIEN,ENERO,13/1/2026,28/1/2026,SI,EDWIN GARZA,LEONARDO RODRÍGUEZ,,CONSTRUCTORA MAIZ MIER,"Sandur, [SIN PRODUCTO], CONSTRUCTORA MAIZ MIER, SITIO: MATRIZ -",,,"8,850","8,850",SÍ,NO,NO,,,,N/A,,,EMPRESARIAL,EAC,VENTA DE EQUIPO,NO,0.00,SÍ,2678373,,PENDIENTE PAGO,,
SO56249,LUMINET,ENERO,16/1/2026,,CANCELADA,KEVIN TORRES,ALEJANDRO ESPARZA,,Laura Perla Córdova Rodríguez,"Luminet, SIMPS-100, Laura Perla Córdova Rodríguez, Oficina de despacho remoto",,,"5,000","5,000",NO,SÍ,SÍ,PYME,PYME,100,ON,Kristales,,GOBIERNO,OTRO,DEMO,CANCELADA,0.00,NO,,,,,
SO56189,OTRO,ENERO,13/1/2026,26/1/2026,SI,CECILIA NUÑEZ,CLAUDIA NIETO,,MESQUITE TECH,"WISPI, MO-INST, MESQUITE TECH, SITIO PDA",,,"7,900","7,900",SÍ,NO,NO,,,,N/A,,,OTRO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,2601184,,PENDIENTE PAGO,,
SO56038,XCIEN,ENERO,14/1/2026,27/1/2026,SI,EDWIN GARZA,IRIS RAMÍREZ,,INTERMETROPOLITANA DE VIVIENDA,"Sandur, [SIN PRODUCTO], INTERMETROPOLITANA DE VIVIENDA, BO ZEVANA 2",,,"15,200","15,200",SÍ,NO,NO,,,,N/A,,,EMPRESARIAL,EAC,VENTA DE EQUIPO,NO,0.00,ODC,2678380,,PAGADA,11/3/2026,
SO55979,XCIEN,ENERO,14/1/2026,20/1/2026,SI,CECILIA NUÑEZ,DANIEL GONZÁLEZ,DANIEL GONZÁLEZ,LAYHERMEX,"Sandur, SIMPS-100, LAYHERMEX, SIT: MINERA DEL NORTE","[SO55979] Sandur, SIMPS-100, LAYHERMEX","1,200",,"1,200",SÍ,NO,NO,PYME,PYME,100,ON,"Sta, Catarina",12,EMPRESARIAL,EAC,UPGRADE,SÍ,"14,400.00",SÍ,2678341,,PAGADA,6/2/2026,
SO56129,LUMINET,ENERO,21/1/2026,10/3/2026,SI,FRANCISCO ALDAY,ROSA SOLÍS,IRIS RAMÍREZ,Omnifonia,"Luminet, SIDP-100, Omnifonia, Sitio Torreòn",,"10,000",,"10,000",NO,SÍ,SÍ,DEDICADO,DEDICADO,100,ON,Repetidor Cerro Las Noas,24,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"240,000.00",S/D,2608151,,PAGADA,23/3/2026,CLIENTE SOLICITÓ PRORROGA PARA LA PRIMERA FACTURACIÓN POR MIGRACIÓN DE IP
SO56469,XCIEN,ENERO,26/1/2026,16/2/2026,SI,SERGIO ABREGO,CLAUDIA NIETO,,AZAEL TAMEZ GONZALEZ,"Sandur, SIP-30x15, AZAEL TAMEZ GONZALEZ, SITIO CUMBRES DEL LAGO",,0,,0,NO,SÍ,SÍ,PYME,PROFESIONAL,30,ON,Valle de Lincoln,,,OTRO,CORTESÍA,NO,0.00,S/D,2678402,,PAGADA,20/2/2026,
SO56423,LUMINET,ENERO,28/1/2026,6/2/2026,SI,CECILIA NUÑEZ,FELIPE CAZARES,JONATHAN TORRES,GB&C,"Sandur, SIMP-30, GB&C, SITIO AGUILA LIBRAMIENTO OSCAR FLORES TAPIA","[SO56423] Sandur, SIMP-30, GB&C","2,200",,"2,200",NO,SÍ,SÍ,PYME,PYME,30,ON,Loft,24,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"52,800.00",SÍ,2678371,,PAGADA,16/2/2026,
SO55820,HUUS,ENERO,15/1/2026,5/3/2026,SI,NANCY FUENTES,ROBERTO GALINDO,FRANCISCO VILLATORO,CONSORCIO ADUANAL CASTAÑEDA RIVERO,"HUUS, SIDP-100, CONSORCIO ADUANAL CASTAÑEDA RIVERO, SITIO: VERACRUZ","[Offnet:SO55820] HUUS, SIDP-100, CONSORCIO ADUANAL CASTAÑEDA RIVERO","4,466",,"4,466",SÍ,NO,NO,DEDICADO,DEDICADO,100,OFF,Alestra,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"160,776.00",SÍ,2617762,,PENDIENTE PAGO,,
SO56193,XCIEN,ENERO,15/1/2026,16/1/2026,SI,EDWIN GARZA,IRIS RAMÍREZ,,FOMENTO EMPRESARIAL INMOBILIARIO,"Sandur, CDD, FOMENTO EMPRESARIAL INMOBILIARIO, BO San Patricio 9",,,0,0,SÍ,NO,NO,,,,ON,,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,2676796,,PAGADA,22/1/2026,
SO55966,XCIEN,ENERO,15/1/2026,,,EDWIN GARZA,IRIS RAMÍREZ,,TRANSPORTES URGENTES NUEVO LEON,"Sandur, S-STS, TRANSPORTES URGENTES NUEVO LEON, SITIO ALTAMIRA TAMPS",,,"25,000","25,000",SÍ,NO,NO,,,,N/A,,,EMPRESARIAL,EAC,VENTA DE EQUIPO,NO,0.00,S/D,,,,,
SO54982,LUMINET,ENERO,5/1/2026,8/1/2026,SI,CECILIA NUÑEZ,OSCAR RIVERA,,COMPAÑIA DE AGUAS DE RAMOS ARIZPE,"Luminet, SIMPS-100, COMPAÑIA DE AGUAS DE RAMOS ARIZPE, Compara Oficinas principales",,"8,400",,"8,400",SÍ,NO,SÍ,PYME,PYME,100,ON,Acherbis,36,GOBIERNO,VENTA DIRECTA,RENOVACIÓN,NO,"302,400.00",NO,2607538,,PAGADA,4/2/2026,
SO55831,XCIEN,ENERO,6/1/2026,27/1/2026,SI,EDWIN GARZA,LEONARDO RODRÍGUEZ,LEONARDO RODRÍGUEZ,IRON TRUST,"Sandur, SVOZ-EXT-N2P, IRON TRUST, SITIO: BODEGA SALINAS VICTORIA -IRON TRUST","[SO55831] Sandur, SVOZ-EXT-N2P, IRON TRUST",402,,402,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,TELEFONÍA,,N/A,N2P,12,EMPRESARIAL,EAC,UPSALE,SÍ,"4,824.00",SÍ,2676818,,PAGADA,3/2/2026,
SO56024,XCIEN,ENERO,16/1/2026,3/2/2026,SI,SERGIO ABREGO,GERARDO DE LA GARZA,LEONARDO RODRÍGUEZ,PETRO SAV LINCOLN,"Sandur, SVOZ-EXT-N2P, PETRO SAV LINCOLN, SITIO: ESTACION BUENA VISTA Redundancia","[SO56024] Sandur, SVOZ-EXT-N2P, PETRO SAV LINCOLN",460,,460,SÍ,SÍ,NO,SERVICIOS ADMINISTRADOS,TELEFONÍA,,N/A,N2P,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"16,560.00",SÍ,2678367,,PAGADA,2/3/2026,
SO56022,XCIEN,ENERO,16/1/2026,23/1/2026,SI,SERGIO ABREGO,GERARDO DE LA GARZA,DANIEL GONZÁLEZ,AUTOLINEAS NUEVOMEX,"Sandur, SIDP-200, AUTOLINEAS NUEVOMEX, SITIO: NUEVO MÉXICO","[SO56022] Sandur, SIDP-200, AUTOLINEAS NUEVOMEX","6,800",,"6,800",SÍ,NO,NO,DEDICADO,DEDICADO,200,ON,Sta. Rosa,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"244,800.00",SÍ,2676815,,PAGADA,4/2/2026,
SO55486,XCIEN,ENERO,6/1/2026,13/1/2026,SI,SERGIO ABREGO,DANIEL GONZÁLEZ,DANIEL GONZÁLEZ,HARMAK MATERIALES,"Sandur, SIDP-30, HARMAK MATERIALES, Escobedo 2","[SO55486] Sandur, SIDP-30, HARMAK MATERIALES","3,500",,"3,500",SÍ,NO,SÍ,DEDICADO,DEDICADO,30,ON,Pda,24,EMPRESARIAL,EAC,UPSALE,SÍ,"84,000.00",SÍ,2676773,,PAGADA,20/1/2026,
SO55806,LUMINET,ENERO,19/1/2026,26/1/2026,SI,EDWIN GARZA,DANIEL GONZÁLEZ,,CENTRO DE SERVICIOS AUXILIARES DEL AUTOTRANSPORTE FEDERAL,"Luminet, SID-20, CENTRO DE SERVICIOS AUXILIARES DEL AUTOTRANSPORTE FEDERAL, Nava Coahuila",,"2,807",,"2,807",SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Piedras Negras,24,EMPRESARIAL,EAC,RENOVACIÓN,NO,"67,365.60",SÍ,2607867,,PAGADA,10/3/2026,
SO55808,LUMINET,ENERO,19/1/2026,20/1/2026,SI,EDWIN GARZA,DANIEL GONZÁLEZ,,CENTRO DE SERVICIOS AUXILIARES DEL AUTOTRANSPORTE FEDERAL,"Luminet, SID-20, CENTRO DE SERVICIOS AUXILIARES DEL AUTOTRANSPORTE FEDERAL, CASTAÑOS COAHUILA",,"2,807",,"2,807",SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Monclova,24,EMPRESARIAL,EAC,RENOVACIÓN,NO,"67,365.60",SÍ,2607578,,PAGADA,12/2/2026,
SO55815,LUMINET,ENERO,19/1/2026,21/1/2026,SI,CECILIA NUÑEZ,DANIEL GONZÁLEZ,,CENTRO DE SERVICIOS AUXILIARES DEL AUTOTRANSPORTE FEDERAL,"Luminet, SID-20, CENTRO DE SERVICIOS AUXILIARES DEL AUTOTRANSPORTE FEDERAL, Santa Maria",,"2,807",,"2,807",SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Ramazini,24,EMPRESARIAL,EAC,RENOVACIÓN,NO,"67,365.60",SÍ,2607577,,PAGADA,12/2/2026,
SO56252,XCIEN,ENERO,19/1/2026,5/2/2026,SI,CECILIA NUÑEZ,LEONARDO RODRÍGUEZ,,AGROINSUMOS ORGANICOS DEL NORTE,"Sandur, SIDP-30, AGROINSUMOS ORGANICOS DEL NORTE, SITIO: AGRINOR ABASOLO SALTILLO // BLINDAJE FASE 1",,-500,,-500,SÍ,NO,NO,DEDICADO,DEDICADO,30,ON,Jolla,24,EMPRESARIAL,EAC,DECREMENTO,NO,"-12,000.00",SÍ,2678349,,PAGADA,12/3/2026,
SO56321,LUMINET,ENERO,20/1/2026,28/1/2026,SI,CECILIA NUÑEZ,OSCAR RIVERA,,TRIBUNAL DE JUSTICIA ADMINISTRATIVA DE COAHUILA DE ZARAGOZA,"Renovacion Licencia, SSTC, TRIBUNAL DE JUSTICIA ADMINISTRATIVA DE COAHUILA DE ZARAGOZA, Tribunal Coss",,0,,0,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,LICENCIA,,N/A,,12,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,PENDIENTE ELABORACIÓN,,
SO56322,LUMINET,ENERO,20/1/2026,28/1/2026,SI,CECILIA NUÑEZ,OSCAR RIVERA,,GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA  ( ORQUESTA FILARMONICA DEL DESIERTO ),"Luminet, SIEV-20-1, GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA  ( ORQUESTA FILARMONICA DEL DESIERTO ), Teatro de la Ciudad 1 2026",,,0,0,SÍ,NO,NO,DEDICADO,EVENTUAL,20,ON,Jolla,,GOBIERNO,OTRO,CORTESÍA,NO,0.00,S/D,2607571,,PAGADA,28/1/2026,
SO56196,XCIEN,ENERO,21/1/2026,23/1/2026,SI,SERGIO ABREGO,CARLOS ALONSO,,INDUSTRIAL GECASA,"Sandur, S-REUB-EQ, INDUSTRIAL GECASA, PARQUE INDUSTRIAL ESCOBEDO 2",,"3,400",,"3,400",SÍ,NO,NO,,,,ON,Mirasur,,EMPRESARIAL,EAC,REUBICACIÓN,NO,0.00,NO,2676805,,PAGADA,23/2/2026,
SO56203,XCIEN,ENERO,21/1/2026,22/1/2026,SI,EDWIN GARZA,IRIS RAMÍREZ,,INTERMETROPOLITANA DE VIVIENDA,"Sandur, S-REUB-EQ, INTERMETROPOLITANA DE VIVIENDA, BO TORRENTO 9",,,0,0,SÍ,NO,NO,,,,ON,Industrial Apodaca,,EMPRESARIAL,EAC,REUBICACIÓN,NO,0.00,NO,2676806,,PAGADA,27/1/2026,
SO56367,XCIEN,ENERO,21/1/2026,22/1/2026,SI,EDWIN GARZA,IRIS RAMÍREZ,,FOMENTO EMPRESARIAL INMOBILIARIO,"Sandur, CDD, FOMENTO EMPRESARIAL INMOBILIARIO, BO MODENA 2",,,0,0,SÍ,NO,NO,,,,ON,Pueblo Nuevo,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,2679958,,PAGADA,9/3/2026,
SO56023,XCIEN,ENERO,6/1/2026,9/1/2026,SI,SERGIO ABREGO,GERARDO DE LA GARZA,LEONARDO RODRÍGUEZ,PETRO SAV LINCOLN,"Sandur, SIDP-20, PETRO SAV LINCOLN, SITIO: ESTACION BUENA VISTA Redundancia","[SO56023] Sandur, SIDP-20, PETRO SAV LINCOLN","2,100",,"2,100",SÍ,SÍ,SÍ,DEDICADO,DEDICADO,20,ON,Rep. Buena Vista,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"75,600.00",SÍ,2676775,,PAGADA,26/1/2026,
SO55645,XCIEN,ENERO,13/1/2026,,CANCELADA,SERGIO ABREGO,JUAN ESCAMILLA,JONATHAN TORRES,DIGA,"Sandur, SVOZ-SIPT-N2P, DIGA, SITIO APODACA","[SO55645] Sandur, SVOZ-SIPT-N2P, DIGA","1,250",,"1,250",SÍ,NO,NO,SERVICIOS ADMINISTRADOS,TELEFONÍA,,N/A,N2P,12,EMPRESARIAL,VENTA DIRECTA,UPSALE,CANCELADA,"15,000.00",SÍ,,,,,
SO56308,XCIEN,ENERO,21/1/2026,27/1/2026,SI,KEVIN TORRES,DANIEL GONZÁLEZ,,PABLO DAVID DE LEON PRADO,"FASE 1 BLINDAJE Sandur, SIDP-40, PABLO DAVID DE LEON PRADO, Sitio:Prado 2",,"4,900",,"4,900",SÍ,NO,NO,DEDICADO,DEDICADO,40,ON,Jolla,24,EMPRESARIAL,EAC,RENOVACIÓN,NO,"117,600.00",SÍ,2678029,,PAGADA,11/2/2026,
SO56147,XCIEN,ENERO,15/1/2026,30/1/2026,SI,SERGIO ABREGO,DAVID REYES,IRIS RAMÍREZ,EASYFLYERS LOGISTICS,"Sandur, SIMPS-30, EASYFLYERS LOGISTICS, Corporativo Orvit","[SO56147] Sandur, SIMPS-30, EASYFLYERS LOGISTICS","2,800",,"2,800",SÍ,SÍ,SÍ,PYME,PYME,30,ON,Tec 100,24,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"67,200.00",SÍ,2678352,,PAGADA,18/2/2026,
SO55727,XCIEN,ENERO,22/1/2026,20/2/2026,SI,EDWIN GARZA,LEONARDO RODRÍGUEZ,,ELSEIN RECUBRIMIENTOS,"Sandur, SVOZ-SIPT-N2P, ELSEIN RECUBRIMIENTOS, SITIO: ESCOBEDO",,0,,0,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,TELEFONÍA,,N/A,N2P,12,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,SÍ,2679596,,PAGADA,17/3/2026,
SO55409,XCIEN,ENERO,22/1/2026,,CANCELADA,EDWIN GARZA,IRIS RAMÍREZ,,HOLIDAYS VACATION,"Sandur, SVOZ-SIPT-N2P, HOLIDAYS VACATION, SITIO: HOLIDAYS",,0,,0,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,TELEFONÍA,,N/A,N2P,24,EMPRESARIAL,EAC,MIGRACIÓN,CANCELADA,0.00,SÍ,,,,,
SO55395,XCIEN,ENERO,22/1/2026,,CANCELADA,EDWIN GARZA,IRIS RAMÍREZ,,HOLIDAYS VACATION,"Sandur, SVOZ-SIPT-N2P, HOLIDAYS VACATION, SITIO: SAN LUIS POTOSI",,0,,0,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,TELEFONÍA,,N/A,N2P,12,EMPRESARIAL,EAC,MIGRACIÓN,CANCELADA,0.00,SÍ,,,,,
SO56053,XCIEN,ENERO,22/1/2026,27/1/2026,SI,EDWIN GARZA,LEONARDO RODRÍGUEZ,,DIEHL AVIATION DE MEXICO,"Sandur, SIDP-500, DIEHL AVIATION DE MEXICO, SITIO: DIEHL QUERETARO",,"-5,000",,"-5,000",SÍ,NO,NO,DEDICADO,DEDICADO,500,ON,Colorado,36,EMPRESARIAL,EAC,DECREMENTO,NO,"-180,000.00",S/D,2677085,,PAGADA,19/2/2026,
SO56250,XCIEN,ENERO,22/1/2026,27/1/2026,SI,SERGIO ABREGO,IRIS RAMÍREZ,,DEACERO,"Sandur, CDD, DEACERO, SITIO: PATIO SAN LUIS",,,"2,990","2,990",SÍ,NO,NO,,,,ON,,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,2678330,,PENDIENTE PAGO,,
